# q = 3
# Integers covered = [1, 2150418490766337)
# 2150418490766337 ~ 3^32.14
# every order is realizable with ordinary AV
# every order is realizable with squarefree AV
# total wall time = 29.24 seconds
#
# Each line has the following format:
# a:b:c:pol:r:mu_ord_lower:construction
# where:
# - a, b, c, r are integers
# - pol is a list of lists of integers, each list represents a monic Weil polynomial of degree 2n given by their n+1 leading coefficients,
# - mu_ord_lower is a real number
# - construction is a string in {'hat', 'logexp', 'exhaust', 'small'}
#
# For each (monic) Weil polynomial h(x) represented by pol we have h(1) = c.
# For construction is {logexp', 'exhaust', 'small'} we have mu_ord_lower = 0 and mu_ord_lower doesn't play a role.
#
# There are four cases, depending on the string construction:
# - 'hat'
# In this case, the row represents the output of Construction 9.5.
# Precisely, the list poly only represents one polynomial h(x) obtained via Construction 9.1,
# and the nth-coefficient of h is coprime to p.
# Let S_h be the set of integral polynomials obtained by integrally modifying
# the coefficients x^n, ..., x^(n + (r-1)) by at most floor(q/2) of h(x), and
# the lower coefficients accordingly to keep the q-symmetry.
# One can then realize every integer in [a, b) as f(1) with f in S_h.
# mu_ord_lower is a lower bound for mu_ord as defined in Section 9.
#
# - 'logexp'
# In this case, r=1, and poly  represents two Weil polynomials h0(x) and h1(x), such that
# (a) h0^[n] != h1^[n] mod p, and thus every number in [a, b) may be represented by an order of
# a squarefree ordinary abelian variety.
# (b) {h0, h1} < {g, g^+, g^-}, where g(x) = hat(h(x)) where h(x) is the polynomial
# produced by Construction 9.1 Steps 1-5, and g^+/- =  g(x) +/- (qx^{n-1} - (q+1)x^n + x^{n+1}).
# Furthermore, mu_ord_lower = 0 and mu_ord_lower doesn't play a role.
#
# - 'exhaust'
# As in 'logexp', but condition (b) is replaced with:
# (b') h0 and h1 have the same (n-1) leading coefficients as hat(h(x))
#
# - 'small'
# In this case the polynomials were generated from exhaustive search in low dimension.
# If the length of poly is 2, then condition (a) from 'logexp' holds and the polynomials were generated from exhaustive search in low dimension.
# If the length of poly is 1, ordinariness or squarefreeness might fail.
#
1:2:1:[[1]]:0:0:small
2:4:3:[[1, -1], [1, -4, 9]]:1:0:small
3:7:4:[[1, -3, 6], [1, -2, 2]]:1:0:logexp
5:13:8:[[1, -1, 2], [1, 0, -2]]:1:0:logexp
9:12:10:[[1, -3, 4, -4], [1, -3, 5, -8]]:1:0:logexp
11:16:13:[[1, -2, 0, 5], [1, -2, 1, 1]]:1:0:logexp
14:25:17:[[1, -1, -1, 3], [1, -1, 0, -1]]:1:0:logexp
18:31:25:[[1, 0, -1, 1], [1, 0, 0, -3]]:1:0:logexp
26:32:28:[[1, -3, 4, -4, 6], [1, -3, 4, -3, 2]]:1:0:logexp
29:37:33:[[1, -3, 5, -6, 9], [1, -3, 5, -5, 5]]:1:0:logexp
34:44:39:[[1, -2, 1, 1, -1], [1, -2, 1, 2, -5]]:1:0:logexp
40:55:46:[[1, -2, 3, -4, 6], [1, -2, 3, -3, 2]]:1:0:logexp
47:66:54:[[1, -1, 0, 0, 0], [1, -1, 0, 1, -4]]:1:0:logexp
55:56:55:[[1, -1, 0, 0, 1]]:0:0.0633833718789870:hat
56:79:66:[[1, -1, 2, -4, 8], [1, -1, 2, -3, 4]]:1:0:logexp
67:68:67:[[1, -1, 2, -2, 1]]:0:0.0191838569681030:hat
68:91:74:[[1, 0, -1, 0, 2], [1, 0, -1, 1, -2]]:1:0:logexp
75:88:81:[[1, 0, 0, 0, -1]]:2:0.529772132492345:hat
82:87:84:[[1, 0, 0, 1, -2]]:1:0.281766487206914:hat
85:90:87:[[1, 0, 1, -1, -1]]:1:0.130916311179000:hat
88:100:93:[[1, -3, 5, -6, 3, 3], [1, -3, 5, -6, 4, -1]]:1:0:logexp
94:110:102:[[1, -3, 6, -10, 13, -16], [1, -3, 6, -10, 14, -20]]:1:0:logexp
103:108:105:[[1, 1, 0, -1, -1]]:1:0.132391353940961:hat
106:123:113:[[1, -2, 1, 1, -2, 3], [1, -2, 1, 1, -1, -1]]:1:0:logexp
114:134:121:[[1, -2, 2, -2, 2, -3], [1, -2, 2, -2, 3, -7]]:1:0:logexp
122:123:122:[[1, -2, 2, -2, 2, -2]]:0:0.0457269702086456:hat
123:124:123:[[1, -2, 2, -2, 3, -5]]:0:0.0606130364549020:hat
124:125:124:[[1, -2, 2, -1, -1, 2]]:0:0.0331437864252866:hat
125:130:127:[[1, -2, 2, -1, 0, 1]]:1:0.0999555467623806:hat
128:133:130:[[1, -2, 2, 0, -2, 2]]:1:0.114482765044026:hat
131:136:133:[[1, -2, 3, -5, 8, -13]]:1:0.0976993745795590:hat
134:139:136:[[1, -2, 3, -4, 4, -4]]:1:0.152232316394140:hat
137:142:139:[[1, -2, 3, -3, 1, 1]]:1:0.171642660722341:hat
140:145:142:[[1, -2, 3, -3, 3, -4]]:1:0.124119372500730:hat
143:144:143:[[1, -2, 3, -3, 4, -7]]:0:0.0341239109792547:hat
144:149:146:[[1, -2, 3, -2, 0, 2]]:1:0.112014837974710:hat
147:152:149:[[1, -1, -1, 2, -1, -1]]:1:0.0916192799396580:hat
150:155:152:[[1, -1, -1, 2, 0, -2]]:1:0.170655376095748:hat
153:158:155:[[1, -1, -1, 3, -2, -1]]:1:0.172958258558412:hat
156:161:158:[[1, -1, 0, -1, 2, -2]]:1:0.148860662461725:hat
159:172:165:[[1, -1, 0, 0, 1, -1]]:2:0.256997462791709:hat
166:199:182:[[1, -1, 1, -1, 1, -2]]:3:0.371082884683938:hat
183:196:189:[[1, -1, 1, 0, 0, -1]]:2:0.320041096520936:hat
190:203:196:[[1, -1, 2, -3, 3, -4]]:2:0.253986401465015:hat
197:230:213:[[1, 0, -1, -1, 2, -1]]:3:0.374196236842193:hat
214:227:220:[[1, 0, -1, 0, 2, -4]]:2:0.361717787380437:hat
221:254:237:[[1, 0, 0, -1, 1, -1]]:3:0.479030268428451:hat
238:271:254:[[1, 0, 0, 1, 1, -4]]:3:0.445510579991407:hat
798:811:804:[[1, -3, 4, -2, 0, -2, 6, -10]]:2:0.0998425491992109:hat
805:818:811:[[1, -3, 5, -7, 8, -8, 9, -13]]:2:0.0776917588111344:hat
812:825:818:[[1, -3, 5, -7, 9, -12, 17, -26]]:2:0.0895073151078076:hat
819:832:825:[[1, -3, 5, -7, 9, -10, 12, -19]]:2:0.0921561532452781:hat
826:839:832:[[1, -3, 5, -7, 10, -13, 13, -14]]:2:0.116620307973222:hat
833:846:839:[[1, -3, 5, -6, 5, -3, 1, -1]]:2:0.0895624282841016:hat
840:873:856:[[1, -3, 5, -6, 6, -5, 5, -8]]:3:0.122673031893971:hat
857:870:863:[[1, -3, 5, -6, 7, -9, 14, -25]]:2:0.0633816797724714:hat
864:897:880:[[1, -3, 5, -5, 3, -2, 4, -8]]:3:0.153506411504644:hat
881:914:897:[[1, -3, 5, -5, 4, -3, 2, -1]]:3:0.138875614861759:hat
898:931:914:[[1, -3, 6, -10, 14, -17, 18, -22]]:3:0.160099508896063:hat
915:948:931:[[1, 1, 0, -1, -1, -1, -1]]:3:0.401308803571727:hat
932:965:948:[[1, -3, 6, -9, 11, -11, 9, -10]]:3:0.190685773633640:hat
949:962:955:[[1, -2, 1, -1, 3, -1, -2, -1]]:2:0.0907965392781015:hat
956:969:962:[[1, -2, 1, -1, 4, -5, 5, -10]]:2:0.108341745143532:hat
963:976:969:[[1, -2, 1, 0, 0, -1, 3, -5]]:2:0.0923317942531762:hat
970:1003:986:[[1, -2, 1, 0, 1, -2, 2, -2]]:3:0.134330853371900:hat
987:1020:1003:[[1, -2, 1, 1, -3, 4, 0, -7]]:3:0.139704245785014:hat
1004:1037:1020:[[1, -2, 1, 1, -1, -1, 2, -4]]:3:0.147325407486605:hat
1021:1054:1037:[[1, -2, 1, 2, -5, 5, -2, -1]]:3:0.164158099038358:hat
1038:1071:1054:[[1, -2, 1, 2, -4, 4, -3, 2]]:3:0.206157158157139:hat
1055:1088:1071:[[1, -2, 2, -3, 5, -5, 4, -5]]:3:0.184307331348890:hat
1072:1105:1088:[[1, -2, 2, -2, 1, 2, -5, 8]]:3:0.187021584136949:hat
1089:1122:1105:[[1, -2, 2, -2, 3, -4, 4, -7]]:3:0.197301885463792:hat
1106:1195:1150:[[1, -2, 2, -1, 1, -2, 3, -4]]:4:0.263870131832140:hat
1151:1240:1195:[[1, -2, 3, -5, 8, -12, 16, -23]]:4:0.269017963900439:hat
1196:1285:1240:[[1, -2, 3, -4, 6, -9, 13, -22]]:4:0.274555958171481:hat
1241:1330:1285:[[1, -2, 3, -3, 3, -1, -2, 5]]:4:0.280930255436108:hat
1286:1375:1330:[[1, -1, -1, 1, 2, -2, -1, 2]]:4:0.280231232231747:hat
1331:1420:1375:[[1, -1, -1, 2, 1, -4, 2, 1]]:4:0.333689590489787:hat
1376:1465:1420:[[1, -1, 0, -1, 2, -1, -1, 2]]:4:0.292814416015355:hat
1421:1510:1465:[[1, -1, 0, 0, 0, 1, -1, 1]]:4:0.380650671691233:hat
1466:1719:1592:[[1, -1, 1, -2, 3, -4, 5, -10]]:5:0.446280843402324:hat
1593:1846:1719:[[1, -1, 1, 0, 1, -2, 4, -7]]:5:0.443933423537793:hat
1720:1809:1764:[[1, -1, 2, -3, 3, -3, 5, -10]]:4:0.381125603226000:hat
1765:1854:1809:[[1, -1, 2, -2, 1, 0, 0, -1]]:4:0.393360603809169:hat
1810:2551:2180:[[1, 0, 0, 0, 0, -1, 1, -2]]:6:0.808097524178382:hat
2181:2194:2187:[[1, -3, 4, -4, 4, -4, 4, -4, 5]]:2:0.0667307627764856:hat
2188:2221:2204:[[1, -3, 4, -4, 4, -2, -3, 9, -16]]:3:0.0841253966576339:hat
2205:2238:2221:[[1, -3, 4, -4, 5, -6, 4, 1, -7]]:3:0.0823844565176371:hat
2222:2255:2238:[[1, -3, 4, -4, 6, -11, 17, -23, 34]]:3:0.0851879813899745:hat
2239:2272:2255:[[1, -3, 4, -3, 0, 4, -5, 0, 7]]:3:0.0911436157872961:hat
2256:2289:2272:[[1, -3, 4, -3, 1, 0, 1, -2, 2]]:3:0.0955846957976952:hat
2273:2306:2289:[[1, -3, 4, -3, 1, 2, -5, 4, -1]]:3:0.111372960211036:hat
2290:2323:2306:[[1, -3, 4, -3, 2, -2, 1, 1, -2]]:3:0.117854418960918:hat
2307:2340:2323:[[1, -3, 4, -3, 3, -6, 7, -1, -7]]:3:0.120956748529291:hat
2324:2357:2340:[[1, -3, 4, -2, -3, 8, -8, 2, 4]]:3:0.120435003417191:hat
2341:2430:2385:[[1, -3, 4, -2, -1, 1, 2, -4, 5]]:4:0.142408495282918:hat
2386:2419:2402:[[1, -3, 4, -2, -1, 3, -5, 9, -16]]:3:0.117223677303928:hat
2403:2436:2419:[[1, -3, 5, -7, 7, -3, -4, 15, -31]]:3:0.107962194415406:hat
2420:2453:2436:[[1, -3, 5, -7, 8, -7, 4, 0, -4]]:3:0.104685999297608:hat
2437:2526:2481:[[1, -3, 5, -7, 9, -9, 7, -5, 5]]:4:0.147064743897311:hat
2482:2571:2526:[[1, -3, 5, -6, 5, -3, 3, -7, 14]]:4:0.143409894279138:hat
2527:2616:2571:[[1, -3, 5, -6, 6, -4, -1, 9, -19]]:4:0.148508986138872:hat
2572:2661:2616:[[1, -3, 5, -5, 2, 2, -4, 1, 4]]:4:0.174739544308292:hat
2617:2706:2661:[[1, -3, 5, -5, 3, 0, -2, 2, -1]]:4:0.188618528691162:hat
2662:2751:2706:[[1, -3, 6, -10, 13, -14, 11, -2, -8]]:4:0.158975624252933:hat
2707:2796:2751:[[1, -3, 6, -10, 14, -16, 14, -5, -7]]:4:0.194920596249157:hat
2752:2841:2796:[[1, -3, 6, -10, 16, -24, 32, -38, 50]]:4:0.138970972035156:hat
2797:2886:2841:[[1, -3, 6, -9, 11, -12, 13, -12, 11]]:4:0.235028143161274:hat
2842:2931:2886:[[1, -2, 1, -1, 4, -5, 4, -6, 10]]:4:0.145378782177652:hat
2887:2920:2903:[[1, -2, 1, 0, -1, 4, -5, 2, -1]]:3:0.129455764069864:hat
2904:2993:2948:[[1, -2, 1, 0, 1, -3, 5, -5, 4]]:4:0.154178941700138:hat
2949:3038:2993:[[1, -2, 1, 0, 2, -4, 3, -1, -1]]:4:0.181735124509802:hat
2994:3083:3038:[[1, -2, 1, 1, -2, 2, -2, 2, -2]]:4:0.187432954473322:hat
3039:3128:3083:[[1, -2, 1, 1, -1, 0, 1, -1, -1]]:4:0.223123127016665:hat
3084:3173:3128:[[1, -2, 1, 2, -5, 6, -3, -3, 8]]:4:0.220924472008183:hat
3129:3218:3173:[[1, -2, 1, 2, -3, -1, 6, -3, -5]]:4:0.242349566438680:hat
3174:3263:3218:[[1, -2, 2, -3, 5, -5, 5, -6, 8]]:4:0.226874418055738:hat
3219:3308:3263:[[1, -2, 2, -2, 1, 2, -5, 6, -7]]:4:0.220307416521525:hat
3264:3353:3308:[[1, -2, 2, -2, 3, -5, 6, -6, 8]]:4:0.236879309731978:hat
3309:3562:3435:[[1, -2, 2, -1, 1, -3, 5, -5, 5]]:5:0.301235024806852:hat
3436:3689:3562:[[1, -2, 3, -5, 7, -9, 13, -18, 26]]:5:0.291351416144518:hat
3563:3816:3689:[[1, -2, 3, -4, 5, -6, 7, -9, 13]]:5:0.347135860521329:hat
3690:3943:3816:[[1, -2, 3, -3, 3, -4, 6, -8, 10]]:5:0.347839912318469:hat
3817:4070:3943:[[1, -2, 3, -2, 0, 3, -4, 4, -5]]:5:0.328443402577764:hat
3944:4197:4070:[[1, -1, -1, 2, 0, -3, 2, 1, -2]]:5:0.318803524243848:hat
4071:4324:4197:[[1, -1, -1, 3, -2, -2, 6, -5, 1]]:5:0.391548028507879:hat
4198:4451:4324:[[1, -1, 0, 0, -1, 1, 1, -2, 2]]:5:0.336229977723945:hat
4325:5066:4695:[[1, -1, 0, 2, -2, -1, 4, -4, 1]]:6:0.515834171781823:hat
4696:5437:5066:[[1, -1, 1, 0, -1, 2, -1, -1, 2]]:6:0.572723098775468:hat
5067:5808:5437:[[1, -1, 2, -2, 2, -3, 2, -2, -1]]:6:0.478968494124746:hat
5438:7639:6538:[[1, 0, 0, 0, 0, -1, 0, 2, -4]]:7:0.853687703801919:hat
6539:6628:6583:[[1, -3, 4, -4, 4, -3, 0, 4, -6, 7]]:4:0.0932818133263836:hat
6584:6673:6628:[[1, -3, 4, -4, 5, -8, 12, -14, 15, -22]]:4:0.0990934731680594:hat
6629:6718:6673:[[1, -3, 4, -4, 5, -6, 5, -3, 1, 1]]:4:0.112481026422206:hat
6674:6763:6718:[[1, -3, 4, -4, 6, -10, 11, -8, 6, -8]]:4:0.111950903834031:hat
6719:6808:6763:[[1, -3, 4, -3, 0, 4, -6, 6, -6, 7]]:4:0.110882132366321:hat
6764:6853:6808:[[1, -3, 4, -3, 1, 0, 0, 1, -2, 2]]:4:0.112261892848042:hat
6809:7062:6935:[[1, -3, 4, -3, 2, -2, 3, -5, 6, -7]]:5:0.144574412557767:hat
6936:7025:6980:[[1, -3, 4, -2, -3, 7, -6, 0, 8, -16]]:4:0.125018942191398:hat
6981:7234:7107:[[1, -3, 4, -2, -2, 5, -4, 0, 2, -1]]:5:0.157125041890229:hat
7108:7361:7234:[[1, -3, 4, -2, 0, -2, 5, -3, 0, -2]]:5:0.164736125973557:hat
7235:7324:7279:[[1, -3, 5, -7, 8, -8, 7, -5, 2, 1]]:4:0.117150430686198:hat
7280:7369:7324:[[1, -3, 5, -7, 8, -7, 5, -2, -1, 2]]:4:0.137903269942626:hat
7325:7578:7451:[[1, -3, 5, -7, 10, -15, 22, -30, 38, -55]]:5:0.156160990124867:hat
7452:7705:7578:[[1, -3, 5, -6, 5, -3, 3, -7, 15, -28]]:5:0.163243503082695:hat
7579:7832:7705:[[1, -3, 5, -6, 6, -5, 5, -8, 14, -23]]:5:0.175972940043839:hat
7706:7959:7832:[[1, -3, 5, -5, 2, 1, 0, -5, 8, -8]]:5:0.195474012526331:hat
